#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:07:59 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.790001,28.190001
] °C
##Environment temperature:	[23.840000,24.920000
] °C
##Humidity:	[51.840000,51.410000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.375808,-0.056914
1.372792,-0.057123
1.348826,-0.054152
1.318696,-0.050493
1.287672,-0.045425
1.218349,-0.034478
1.153081,-0.025134
1.094701,-0.016692
1.027597,-0.009700
0.997473,-0.006536
0.973079,-0.004743
0.931169,-0.002849
0.884493,-0.001295
0.824600,-0.000630
0.766907,-0.000517
0.700888,-0.002539
0.650557,-0.004881
0.628964,-0.005374
0.604096,-0.004247
0.548571,-0.003572
0.535501,-0.000850
0.488761,0.001397
0.441839,0.003615
0.398500,0.006071
0.345441,0.007922
0.295705,0.009894
0.245491,0.011476
0.200512,0.013050
0.152341,0.014024
0.111953,0.015487
0.066949,0.016863
0.020318,0.018094
-0.026762,0.019279
-0.070402,0.020370
-0.119023,0.021554
-0.150109,0.023325
-0.192120,0.025763
-0.219393,0.029362
-0.255910,0.033775
-0.330126,0.043490
-0.390246,0.052255
-0.438549,0.060605
-0.488387,0.068590
-0.507755,0.077860
NaN,NaN
-0.482236,0.075876
-0.476618,0.074501
-0.456952,0.070975
-0.426195,0.066797
-0.349772,0.056765
-0.284535,0.048374
-0.229939,0.041600
-0.187751,0.036308
-0.140571,0.030445
-0.093626,0.024982
-0.050659,0.020029
-0.006432,0.014972
0.039935,0.009653
0.083801,0.004603
0.131992,-0.001006
0.177942,-0.005930
0.248262,-0.007850
0.289692,-0.006123
0.386858,-0.000203
0.397918,0.001002
0.403115,0.001407
0.429098,0.000124
0.466924,-0.001717
0.481731,-0.005644
0.581262,-0.013491
0.641283,-0.015659
0.656642,-0.016743
0.685063,-0.019355
0.714099,-0.022578
0.759026,-0.026084
0.826344,-0.027932
0.913293,-0.027033
0.947617,-0.026328
0.980980,-0.026838
1.024674,-0.027674
1.048172,-0.030044
1.087982,-0.032721
1.127247,-0.035575
1.177361,-0.038308
1.206250,-0.041991
1.264823,-0.044908
1.306984,-0.048047
1.331822,-0.052468
1.427423,-0.061004
NaN,NaN
